id,label
11008,0.273971
5298,0.936536
918,0.920626
10404,0.572793
884,0.785671
10703,0.959447
8604,0.106862
813,0.42728
1904,0.0669337
3384,0.531029
8817,0.895823
7341,0.969398
2925,0.897395
4653,0.0667692
4960,0.487013
1410,0.0756815
7488,0.544536
12474,0.457037
2544,0.821624
12406,0.115859
12447,0.928624
5952,0.587995
1321,0.333086
11652,0.186319
10972,0.375556
9006,0.774196
9504,0.576515
4419,0.135918
5326,0.16533
2923,0.982466
481,0.886924
10813,0.584606
5477,0.881221
7714,0.177581
6533,0.21401
5920,0.103923
11893,0.914959
4871,0.836313
9744,0.010292
1017,0.394888
458,0.0507634
11237,0.869625
6442,0.921241
7352,0.338893
3657,0.114146
4433,0.0928035
3386,0.150118
1175,0.96269
1212,0.0155914
10471,0.091933
4216,0.92293
12004,0.0792079
4839,0.157558
4620,0.0548502
3008,0.0366932
12453,0.654886
6092,0.0626145
12494,0.871825
644,0.927619
3193,0.149665
8575,0.0784778
967,0.0500899
4022,0.16606
6451,0.280279
9988,0.51506
9337,0.0872489
11176,0.683392
1979,0.758371
6971,0.144943
9368,0.0387934
3252,0.149665
5509,0.855196
3409,0.989959
5386,0.00328701
11865,0.209748
11982,0.973864
5488,0.64732
6867,0.254875
180,0.573391
3274,0.934374
1793,0.954973
10718,0.193
1512,0.25961
10191,0.0366125
4612,0.107729
9723,0.887407
9498,0.453503
7133,0.893321
7909,0.891856
457,0.320174
6899,0.59287
544,0.869667
1905,0.62171
10201,0.012839
1960,0.386072
5018,0.076883
8463,0.94761
12200,0.959841
6790,0.887232
4697,0.227024
10311,0.348788
10529,0.0968496
8082,0.946441
8629,0.0645687
2040,0.285702
4182,0.0927406
8366,0.875392
1530,0.842491
9251,0.795809
4235,0.985863
5133,0.258998
10492,0.821722
4819,0.250023
1774,0.298129
4974,0.151674
12157,0.419485
5011,0.672725
5161,0.167448
10870,0.878445
8074,0.141518
11418,0.145662
4202,0.445044
10712,0.874223
8260,0.856502
10032,0.0677842
8375,0.397501
7479,0.993535
7696,0.987062
8387,0.098854
2528,0.28263
581,0.952599
11906,0.929224
11667,0.679035
9348,0.356937
6319,0.726092
7732,0.970745
10023,0.376255
10731,0.622269
10153,0.0972505
9041,0.246519
5878,0.938645
3247,0.942563
7797,0.928731
3460,0.62526
8974,0.679193
57,0.970265
3260,0.989293
9011,0.590943
10501,0.787898
9115,0.988362
8343,0.382109
10709,0.962203
3714,0.927091
4815,0.989306
6428,0.219612
10650,0.0999403
9437,0.917266
6571,0.137148
5894,0.801878
4814,0.938347
12205,0.97258
10791,0.634386
3204,0.49156
9880,0.967867
1731,0.137765
4902,0.571886
6946,0.399133
5863,0.414833
1500,0.158197
379,0.888631
126,0.0573169
10228,0.662045
32,0.488395
1973,0.137898
10019,0.0394407
752,0.988385
8659,0.0669285
3277,0.961654
3805,0.857467
7745,0.89956
10822,0.84667
10257,0.722778
8934,0.449421
10385,0.992341
8940,0.173066
12015,0.798665
11212,0.403213
2515,0.376734
6512,0.397298
9311,0.749686
943,0.280862
9971,0.0566603
9781,0.194795
4869,0.0141514
359,0.10166
2184,0.951424
850,0.652594
3749,0.994268
5283,0.466812
9326,0.899905
7853,0.822914
5225,0.843324
2056,0.493962
8745,0.581713
5748,0.934628
7946,0.810881
1847,0.0476998
7749,0.206528
1650,0.492069
10025,0.784632
1167,0.866994
11380,0.481721
9790,0.294453
3955,0.669698
9990,0.191437
11591,0.130574
7184,0.417105
2164,0.0374862
10418,0.337975
8114,0.953893
5829,0.384156
8803,0.50735
6789,0.150581
7333,0.0815022
12105,0.230523
7532,0.122253
8017,0.133617
3535,0.129885
3434,0.985005
10278,0.184046
5232,0.203544
2847,0.648548
9532,0.121197
11836,0.578836
11582,0.0892849
4741,0.0992232
5845,0.896915
1179,0.7499
3650,0.83657
2769,0.833831
7381,0.081122
1817,0.988304
5041,0.685108
10459,0.0459265
10378,0.735954
9600,0.304553
5137,0.0714005
6150,0.181084
1280,0.754015
11683,0.942019
4716,0.219818
2791,0.0931568
5166,0.693177
7540,0.225077
6657,0.263963
922,0.115043
1125,0.0951657
9847,0.930303
1415,0.335049
3392,0.159333
8985,0.859828
11429,0.973021
1089,0.960188
355,0.252883
11526,0.394177
6102,0.142247
10725,0.803556
11277,0.987222
4610,0.0204685
348,0.927523
4913,0.580591
1360,0.772971
6214,0.973513
6501,0.924117
1352,0.181703
5374,0.204647
10242,0.99875
6934,0.953084
4661,0.0684178
6051,0.981423
10604,0.383614
1679,0.100104
4378,0.676864
3599,0.319307
10563,0.215161
4320,0.497558
7344,0.830557
8058,0.940895
10310,0.591242
3974,0.343732
9634,0.672578
9763,0.0483086
6260,0.0886811
9196,0.226725
10263,0.860838
5680,0.936463
6185,0.175446
6273,0.937306
3631,0.497135
6672,0.783328
10897,0.654609
6779,0.375481
4050,0.84597
878,0.927175
1311,0.57706
4358,0.964741
7418,0.0626183
3398,0.0544058
907,0.908683
6406,0.657479
109,0.6119
11926,0.705439
10512,0.112508
6633,0.637828
642,0.425981
8610,0.999158
11864,0.527676
854,0.551578
2763,0.909031
2332,0.139203
10918,0.191072
10848,0.628389
5167,0.0221626
5625,0.792786
12038,0.932027
11168,0.354832
12128,0.761789
5035,0.982629
7156,0.354304
3897,0.375297
1210,0.915412
4792,0.755132
10747,0.212628
3531,0.790763
2627,0.96602
